"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Female"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          2221 Biological technologists and technicians",6320,6005,33029,35016,5930,33159,34938 
"          2222 Agricultural and fish products inspectors",2820,2740,41833,41229,2725,42303,41716 
"          2223 Forestry technologists and technicians",1570,1515,39841,40067,1485,39868,40497 
"          2224 Conservation and fishery officers",1485,1465,31847,37012,1460,31831,36879 
"          2225 Landscape and horticulture technicians and specialists",7240,6790,18665,26105,5885,19744,27360 
"        223 Technical occupations in civil, mechanical and industrial engineering",12575,11970,42659,44297,11805,42962,44456 
"          2231 Civil engineering technologists and technicians",3760,3500,42426,43868,3445,43890,44141 
"          2232 Mechanical engineering technologists and technicians",1835,1795,45898,45509,1770,45912,45690 
"          2233 Industrial engineering and manufacturing technologists and technicians",4745,4565,41270,43281,4520,41794,43476 
"          2234 Construction estimators",2230,2115,43755,46171,2070,43816,46070 
"        224 Technical occupations in electronics and electrical engineering",9975,9305,38054,40884,8950,39057,41577 
"          2241 Electrical and electronics engineering technologists and technicians",5255,4975,39923,43721,4825,40775,43900 
"          2242 Electronic service technicians (household and business equipment)",3725,3380,30153,33390,3180,32811,34667 
"          2243 Industrial instrument technicians and mechanics",365,360,55631,57450,360,55631,57960 
"          2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",625,585,53934,49914,590,53934,49883 
"        225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",19300,18400,37040,38473,17455,37887,39055 
"          2251 Architectural technologists and technicians",3345,3195,35868,37300,3050,35908,37045 
"          2252 Industrial designers",2385,2240,36315,37071,1965,37444,38888 
"          2253 Drafting technologists and technicians",9720,9235,35965,37487,8805,36711,38038 
"          2254 Land survey technologists and technicians",845,795,35897,34957,775,35401,35021 
"          2255 Technical occupations in geomatics and meteorology",3005,2935,45959,44875,2860,46218,45545 
"        226 Other technical inspectors and regulatory officers",14825,14280,52012,53400,14040,52644,53840 
"          2261 Non-destructive testers and inspection technicians",580,555,47749,48468,540,47855,49002 
"          2262 Engineering inspectors and regulatory officers",1190,1145,57510,58530,1145,57373,58015 
"          2263 Inspectors in public and environmental health and occupational health and safety",11060,10645,53943,54537,10485,54427,54941 
"          2264 Construction inspectors",1990,1925,46102,45499,1860,46285,46470 
"        227 Transportation officers and controllers",3220,3140,58870,62766,3105,59409,63258 
"          2271 Air pilots, flight engineers and flying instructors",1090,1075,53924,61320,1055,54118,62093 
"          2272 Air traffic controllers and related occupations",1270,1250,66250,68733,1255,66385,68865 
"          2273 Deck officers, water transport",415,375,52798,51585,365,52981,52231 
"          2274 Engineer officers, water transport",90,95,51833,45248,95,51833,45248 
"          2275 Railway traffic controllers and marine traffic regulators",350,345,66128,62415,340,66222,62938 
"        228 Technical occupations in computer and information systems",31120,29615,46616,47122,28980,47149,47605 
"          2281 Computer network technicians",13465,12810,48831,49546,12450,49933,50341 
"          2282 User support technicians",14185,13495,43732,44428,13310,44063,44718 
"          2283 Information systems testing technicians",3470,3315,51389,48724,3225,51412,48963 
"    3 Health occupations",947120,902325,40541,47259,856970,40346,45174 
"      30 Professional occupations in nursing",304685,292725,59240,57011,289845,59542,57242 
"        301 Professional occupations in nursing",304685,292720,59240,57011,289845,59542,57242 
"          3011 Nursing co-ordinators and supervisors",9980,9685,62706,60336,9615,62976,60571 
"          3012 Registered nurses and registered psychiatric nurses",294705,283035,59113,56897,280230,59433,57128 
"      31 Professional occupations in health (except nursing)",137935,132275,62246,77316,109885,56661,62640 
"        311 Physicians, dentists and veterinarians",46690,44100,86529,115522,31830,60129,78265 
"          3111 Specialist physicians",14165,13440,100012,140539,10305,62704,91196 
"          3112 General practitioners and family physicians",20195,19095,101560,117188,13180,58461,74433 
"          3113 Dentists",6840,6300,85151,99898,3740,59116,76815 
"          3114 Veterinarians",5490,5265,62641,64348,4610,60920,61483 
"        312 Optometrists, chiropractors and other health diagnosing and treating professionals",12455,11845,51677,59912,7095,47277,54078 
"          3121 Optometrists",2460,2360,75858,78687,975,45363,53760 
"          3122 Chiropractors",2500,2290,42132,52514,935,26738,36260 
"          3124 Allied primary health practitioners",4670,4515,74022,69058,4095,70204,65407 
"          3125 Other professional occupations in health diagnosing and treating",2820,2685,28742,34364,1090,19779,27143 
"        313 Pharmacists, dietitians and nutritionists",31275,30265,67726,70534,29035,67025,67514 
"          3131 Pharmacists",21250,20640,81862,82051,20135,80696,76795 
"          3132 Dietitians and nutritionists",10025,9620,46018,45830,8900,46901,46520 
"        314 Therapy and assessment professionals",47520,46065,50314,49666,41920,50090,48848 
"          3141 Audiologists and speech-language pathologists",8840,8620,59099,56591,7995,58661,55604 
"          3142 Physiotherapists",17475,16920,51896,51476,14855,51206,50277 
"          3143 Occupational therapists",13645,13330,53438,51729,12515,53389,50753 
"          3144 Other professional occupations in therapy and assessment",7560,7190,31910,33278,6555,32657,33739 
"      32 Technical occupations in health",259645,247485,36041,37582,230190,37360,38537 
"        321 Medical technologists and technicians (except dental health)",125905,120735,36709,39589,119780,36735,39492 
"          3211 Medical laboratory technologists",17460,17010,57061,54962,16860,57138,55086 
"          3212 Medical laboratory technicians and pathologists' assistants",21390,20390,39428,38832,20250,39455,38875 
"          3213 Animal health technologists and veterinary technicians",13805,13155,25551,26097,12970,26093,26337 
"          3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",7420,7230,54793,54178,7180,54834,54188 
"          3215 Medical radiation technologists",15920,15425,56523,56290,15330,56457,55275 
"          3216 Medical sonographers",3870,3800,61967,58098,3690,62276,58280 
"          3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",2525,2380,42958,43333,2355,42884,43294 
