"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Male"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          2161 Mathematicians, statisticians and actuaries",6620,6400,76047,97025,6195,77454,99302 
"        217 Computer and information systems professionals",261790,247090,65225,66872,232530,66653,68172 
"          2171 Information systems analysts and consultants",113075,106855,69768,71045,100665,70516,72204 
"          2172 Database analysts and data administrators",10495,9985,71943,71285,9680,72364,71604 
"          2173 Software engineers and designers",32685,31205,79486,81873,30270,80068,82829 
"          2174 Computer programmers and interactive media developers",88115,83015,60145,60669,78675,61022,61379 
"          2175 Web designers and developers",17425,16030,35765,39224,13240,40008,41854 
"      22 Technical occupations related to natural and applied sciences",465905,442830,51840,55740,424540,52835,56805 
"        221 Technical occupations in physical sciences",25480,24210,49473,56124,23670,49621,56275 
"          2211 Chemical technologists and technicians",15290,14505,46634,50514,14270,46981,50748 
"          2212 Geological and mineral technologists and technicians",10195,9705,53310,64510,9405,53205,64663 
"        222 Technical occupations in life sciences",32855,31215,39224,41454,29340,40998,42695 
"          2221 Biological technologists and technicians",5885,5610,39119,41333,5420,39432,41744 
"          2222 Agricultural and fish products inspectors",2875,2780,58165,54887,2720,58224,55487 
"          2223 Forestry technologists and technicians",7295,7020,42246,42935,6680,43104,43751 
"          2224 Conservation and fishery officers",4980,4835,54096,50485,4790,54460,50969 
"          2225 Landscape and horticulture technicians and specialists",11825,10965,27858,33176,9730,30031,34856 
"        223 Technical occupations in civil, mechanical and industrial engineering",72750,69340,54941,58188,67310,55299,58574 
"          2231 Civil engineering technologists and technicians",19560,18755,52206,54609,18275,52706,54955 
"          2232 Mechanical engineering technologists and technicians",20920,19875,56480,59109,19345,56919,59402 
"          2233 Industrial engineering and manufacturing technologists and technicians",16825,16005,52563,54760,15710,52828,55069 
"          2234 Construction estimators",15440,14700,60006,65242,13985,60182,66094 
"        224 Technical occupations in electronics and electrical engineering",106510,101080,49067,52359,95020,50659,54148 
"          2241 Electrical and electronics engineering technologists and technicians",44640,42685,54980,56984,41235,55727,57867 
"          2242 Electronic service technicians (household and business equipment)",46145,43210,38116,39896,38875,40191,42051 
"          2243 Industrial instrument technicians and mechanics",8540,8255,75851,82754,8075,76976,83553 
"          2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",7180,6935,67338,65368,6835,67623,65771 
"        225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",48790,46180,46289,48470,43520,47238,49349 
"          2251 Architectural technologists and technicians",6805,6475,48128,49862,5820,49697,51704 
"          2252 Industrial designers",5800,5405,47923,51783,4900,49483,53315 
"          2253 Drafting technologists and technicians",25295,23805,45569,47429,22505,46283,48262 
"          2254 Land survey technologists and technicians",4595,4460,38303,40170,4390,38317,40406 
"          2255 Technical occupations in geomatics and meteorology",6290,6035,53521,54245,5905,54026,54528 
"        226 Other technical inspectors and regulatory officers",45075,42940,62245,64922,40995,64140,66587 
"          2261 Non-destructive testers and inspection technicians",6710,6370,62802,68949,6195,62939,69314 
"          2262 Engineering inspectors and regulatory officers",4595,4320,65721,68864,4125,68099,70815 
"          2263 Inspectors in public and environmental health and occupational health and safety",20335,19580,67560,68860,19085,68322,69842 
"          2264 Construction inspectors",13430,12675,54054,55470,11600,56150,58272 
"        227 Transportation officers and controllers",30540,29250,79975,87060,28590,80624,88085 
"          2271 Air pilots, flight engineers and flying instructors",16395,15730,82107,91003,15265,83584,92468 
"          2272 Air traffic controllers and related occupations",4200,4040,93355,104171,4015,93715,104855 
"          2273 Deck officers, water transport",5715,5470,70790,72875,5375,71366,73239 
"          2274 Engineer officers, water transport",3170,2980,71145,73206,2910,72540,73946 
"          2275 Railway traffic controllers and marine traffic regulators",1060,1025,81926,75066,1030,81926,75079 
"        228 Technical occupations in computer and information systems",103905,98615,50497,52028,96095,51027,52527 
"          2281 Computer network technicians",54280,51700,55889,56410,50080,56692,57200 
