"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) = Total - Sex"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          3219 Other medical technologists and technicians (except dental health)",50395,47865,26509,28126,47605,26501,28045 
"        322 Technical occupations in dental health care",34810,33220,43062,45693,30960,43197,45329 
"          3221 Denturists",2450,2235,45383,54108,1445,37244,44224 
"          3222 Dental hygienists and dental therapists",24635,23720,45170,45325,22855,45173,45285 
"          3223 Dental technologists, technicians and laboratory assistants",7735,7270,37361,44310,6660,38058,45723 
"        323 Other technical occupations in health care",139480,131875,36432,37992,112675,39519,40445 
"          3231 Opticians",9280,8780,38556,39731,8365,38717,39507 
"          3232 Practitioners of natural healing",7770,6885,12256,17942,3135,13828,20040 
"          3233 Licensed practical nurses",60235,57280,39629,37948,56750,39743,38022 
"          3234 Paramedical occupations",26760,25725,60393,60738,25590,60480,60819 
"          3236 Massage therapists",27780,25855,17006,20786,12090,13141,17738 
"          3237 Other technical occupations in therapy and assessment",7655,7350,32635,35947,6755,33105,34897 
"      34 Assisting occupations in support of health services",282990,265655,28761,28524,262410,28957,28570 
"        341 Assisting occupations in support of health services",282990,265655,28761,28524,262415,28957,28570 
"          3411 Dental assistants",33080,31315,29986,29999,31015,30011,30017 
"          3413 Nurse aides, orderlies and patient service associates",218250,204190,28539,28213,201740,28711,28283 
"          3414 Other assisting occupations in support of health services",31655,30150,28645,29105,29650,28762,29012 
"    4 Occupations in education, law and social, community and government services",2249270,2113390,40273,48727,1987025,41860,48195 
"      40 Professional occupations in education services",790140,755675,54612,53604,745005,54961,53785 
"        401 University professors and post-secondary assistants",168590,155575,27747,50326,153720,27901,49829 
"          4011 University professors and lecturers",81555,77060,81047,81771,75980,81473,81092 
"          4012 Post-secondary teaching and research assistants",87035,78515,10413,19464,77745,10304,19276 
"        402 College and other vocational instructors",114705,108825,51941,52114,103525,53794,53271 
"          4021 College and other vocational instructors",114705,108830,51941,52114,103525,53794,53271 
"        403 Secondary and elementary school teachers and educational counsellors",506845,491280,58402,54972,487755,58611,55141 
"          4031 Secondary school teachers",188480,182820,62533,58413,181350,62891,58643 
"          4032 Elementary school and kindergarten teachers",296430,287330,56277,53198,285540,56447,53341 
"          4033 Educational counsellors",21935,21130,50478,49331,20870,50540,49352 
"      41 Professional occupations in law and social, community and government services",489720,461865,53995,68886,416670,53770,62654 
"        411 Judges, lawyers and Quebec notaries",89005,85335,95031,138286,63900,86012,110686 
"          4111 Judges",3270,3145,228104,199599,3055,229364,199756 
"          4112 Lawyers and Quebec notaries",85740,82185,92356,135937,60845,83048,106212 
"        415 Social and community service professionals",169200,161775,47009,47739,151195,47764,48006 
"          4151 Psychologists",23150,22110,52016,55426,16840,53921,54507 
"          4152 Social workers",59585,57275,52235,50801,55875,52710,51142 
"          4153 Family, marriage and other related counsellors",29045,27700,42012,41949,25625,43227,43025 
"          4154 Professional occupations in religion",33195,31400,42184,43729,30250,42978,44530 
"          4155 Probation and parole officers and related occupations",6805,6640,65568,61509,6565,65873,61889 
"          4156 Employment counsellors",17415,16645,39074,38701,16040,39691,39083 
"        416 Policy and program researchers, consultants and officers",231515,214760,53046,57240,201580,54744,58416 
"          4161 Natural and applied science policy researchers, consultants and program officers",28085,26745,61561,66933,24920,63874,67040 
"          4162 Economists and economic policy researchers and analysts",16465,15810,69053,74813,15210,70077,75980 
"          4163 Business development officers and marketing researchers and consultants",55230,51465,50115,60403,47050,52192,62827 
"          4164 Social policy researchers, consultants and program officers",30095,28840,57093,56671,27760,57948,57386 
"          4165 Health policy researchers, consultants and program officers",32315,30585,54107,55144,29060,54851,55513 
"          4166 Education policy researchers, consultants and program officers",27435,26355,53832,54553,24525,55950,56146 
"          4167 Recreation, sports and fitness policy researchers, consultants and program officers",12145,11590,37031,38877,11300,37524,39208 
"          4168 Program officers unique to government",22020,16175,36322,40582,15305,40069,42294 
